MORTGAGE;MORTGAGE_TAKING_AGE;AGE;YEARS_WITH_BANK;MARITAL_STATUS;EDUCATION;EMPLOYMENT;GENDER;INCOME;ADDRESS_DATE;JOB_DATE;WITH_BANK_DATE;BALANCE
Y;50;52;13;M;HGH;PVE;M;909.5;1979-04-18;2010-01-01;2004-03-16;7648.35
Y;48;49;11;M;HGH;SFE;M;288.46;1999-12-16;2004-01-20;2005-11-07;30189.9
Y;53;55;14;M;BCR;STE;M;1280.53;2005-06-28;1990-09-01;2003-06-25;50553.17
Y;64;66;10;M;BCR;OTH;F;620.96;2000-12-22;;2006-12-21;15907.28
Y;46;47;9;S;MAS;PVE;F;2239.85;2009-08-01;2013-12-24;2007-08-07;27916.19
Y;34;35;10;;BCR;STE;F;1016.0;;2006-08-01;2006-08-02;26571.47
Y;51;53;10;M;HGH;STE;F;458.61;1992-12-31;1984-12-13;2006-10-27;21949.5
Y;56;58;10;M;HGH;PVE;F;615.38;1998-03-31;2005-09-20;2007-06-27;50387.56
Y;46;47;14;M;BCR;PVE;M;744.01;2007-09-01;2010-04-08;2002-11-16;8731.95
Y;45;46;12;M;HGH;PVE;M;473.82;2007-11-27;1991-10-01;2004-11-24;16084.14
Y;38;40;9;S;HGH;PVE;F;538.63;2007-10-17;2006-06-12;2008-01-29;13118.74
Y;48;50;11;M;HGH;STE;M;402.45;1997-09-01;1992-07-01;2006-04-28;28063.86
Y;56;57;14;D;HGH;PVE;F;626.35;2005-05-30;2002-11-18;2002-11-27;6084.6
Y;36;39;12;M;BCR;PVE;M;932.79;2009-09-01;2004-08-01;2004-08-19;55190.07
Y;39;41;11;M;BCR;PVE;F;872.73;2009-06-20;2005-08-01;2005-08-01;29008.48
Y;42;43;12;M;BCR;PVE;M;7504.29;1999-02-01;2008-06-27;2005-02-25;35649.95
Y;50;51;13;;BCR;PVE;M;808.44;;2009-09-01;2004-04-21;133846.75
Y;42;43;11;S;BCR;STE;F;630.09;2011-12-01;2005-07-01;2006-03-29;29114.94
Y;50;52;13;M;HGH;PVE;M;1613.83;2013-09-14;2003-10-27;2004-01-13;70111.68
Y;36;37;12;D;BCR;PVE;M;1269.23;1985-01-01;2013-11-25;2004-11-02;74363.17
