AGE;YEARS_WITH_BANK;MARITAL_STATUS;EDUCATION;EMPLOYMENT;GENDER;INCOME;ADDRESS_DATE;JOB_DATE;WITH_BANK_DATE;BALANCE
32;3;M;HGH;PVE;M;423.08;1985-01-21;2005-01-01;2014-07-02;143.0
51;10;W;SEC;RET;F;140.61;2010-10-23;;2007-02-21;2288.7
36;7;M;BCR;STE;F;326.92;1981-10-16;2009-09-10;2009-10-26;2268.49
46;11;D;BCR;TEA;F;738.82;2008-09-01;2005-11-01;2005-11-30;4536.98
39;10;M;HGH;PVE;M;483.93;1993-09-01;2013-06-01;2006-12-05;3076.92
64;9;M;BCR;RET;F;274.52;1983-06-01;1993-09-03;2008-06-16;153.77
64;8;W;HGH;RET;F;237.63;1978-10-01;;2009-06-10;2307.69
74;11;M;HGH;RET;M;221.04;1996-10-20;;2006-05-26;790.38
26;4;S;HGH;PVE;M;248.65;2009-10-02;2012-01-24;2012-11-29;4615.38
42;13;M;BCR;PVE;F;228.08;1975-08-29;2012-11-16;2004-06-29;4820.32
47;7;M;BCR;TEA;F;446.47;1993-01-01;2000-08-01;2009-10-27;4615.38
62;0;M;HGH;RET;F;256.92;1992-05-25;2001-12-03;2016-09-15;213.84
26;0;S;HGH;PVE;M;214.51;2010-01-01;2015-11-18;2016-09-14;4577.4
65;2;M;HGH;RET;M;504.05;2003-01-01;;2014-12-17;5771.36
56;13;M;BCR;STE;F;299.32;1982-01-31;1995-02-01;2004-07-05;2288.7
56;12;M;HGH;STE;M;424.91;1965-01-01;1981-12-09;2005-06-03;783.55
48;5;M;HGH;PVE;F;195.43;2008-08-01;2015-12-01;2011-10-17;807.37
32;11;S;HGH;PVE;M;269.72;1985-08-20;2005-09-15;2005-10-11;1646.61
65;12;M;BCR;RET;F;387.97;1996-01-01;;2005-02-23;2405.83
73;0;W;HGH;RET;F;192.91;2013-01-01;;2016-10-05;517.7
39;2;M;HGH;PVE;F;197.66;1997-07-01;2014-08-01;2014-08-07;364.45
30;8;M;BCR;PVE;M;275.64;1990-04-06;2010-07-19;2008-08-12;7629.0
35;0;S;MAS;TEA;M;615.39;1982-03-07;2013-02-01;2016-09-22;7629.0
46;1;M;HGH;PVE;M;198.92;1992-06-01;2015-03-19;2015-12-24;2268.49
37;11;M;HGH;PVE;M;687.22;2013-03-15;2009-01-15;2005-10-13;2286.1
68;5;M;BCR;RET;F;247.99;2005-07-05;;2011-08-30;3951.92
46;11;M;HGH;STE;F;302.81;2004-06-01;1992-08-17;2006-01-19;2307.69
61;13;M;HGH;PVE;M;451.23;1982-01-01;1996-04-01;2004-03-04;1423.51
46;15;M;BCR;STE;F;602.39;2010-01-01;1996-08-01;2002-06-01;7629.0
26;2;S;BCR;STE;M;363.17;2015-06-25;2014-01-01;2015-06-26;293.14
66;14;W;BCR;RET;F;247.5;1995-03-06;;2002-08-16;3410.51
61;12;W;PRS;RET;F;159.2;2002-01-01;;2005-02-17;2401.4
53;13;M;HGH;PVE;M;373.62;1969-04-04;2007-06-18;2004-06-08;356.5
44;0;D;HGH;STE;F;198.25;2006-07-01;2014-06-01;2016-09-28;2307.69
53;12;M;BCR;RET;F;249.82;1995-01-01;;2005-06-24;5562.72
45;12;M;HGH;STE;M;463.78;1986-09-26;1995-09-26;2005-06-27;2268.49
47;11;M;HGH;STE;M;383.14;1970-03-18;1999-09-01;2005-09-15;9000.0
46;11;D;HGH;STE;F;361.56;2003-01-01;2005-10-17;2006-02-01;2268.49
42;13;M;HGH;PVE;M;247.92;1986-01-01;2003-02-01;2003-09-04;6259.45
45;8;M;BCR;STE;F;681.28;2010-11-01;1994-02-10;2009-04-21;9484.62
54;7;M;HGH;STE;M;255.48;1992-01-01;1980-05-01;2009-07-06;1854.81
67;4;W;HGH;RET;F;285.74;1980-06-01;;2013-05-14;4433.96
60;11;M;HGH;RET;F;271.38;1981-06-01;;2005-08-01;7124.31
30;6;M;HGH;STE;F;267.95;2013-01-01;2016-02-08;2010-11-04;5915.85
63;11;W;HGH;RET;F;251.7;2003-05-07;;2005-07-07;5328.6
66;12;M;HGH;RET;F;188.07;1951-12-21;;2004-07-22;3609.95
36;13;M;HGH;PVE;M;270.41;2010-03-15;2014-09-01;2004-03-30;967.69
52;11;M;HGH;STE;F;380.18;1976-01-01;1993-01-01;2005-07-25;7692.31
67;11;M;BCR;RET;M;377.79;1950-06-12;;2005-12-28;1109.26
39;0;M;HGH;SFE;M;164.02;1978-07-30;2005-06-01;2016-09-05;2288.7
65;10;M;HGH;RET;F;230.71;1986-01-01;;2006-10-26;5366.71
31;4;S;HGH;PVE;M;227.5;1988-06-01;2012-02-01;2013-05-14;0.0
61;11;W;HGH;STE;M;255.12;1969-12-31;1984-08-13;2006-05-13;364.59
48;13;M;HGH;STE;F;261.57;1997-01-18;2012-10-01;2004-04-23;2515.19
66;0;M;HGH;RET;M;212.58;2015-01-01;;2016-09-21;4979.42
63;2;M;HGH;RET;F;1546.27;1970-11-01;;2014-09-26;6273.72
36;11;M;HGH;PVE;M;192.31;2011-05-01;2000-10-01;2005-07-30;2307.69
61;12;M;HGH;RET;M;331.5;1983-01-01;;2004-11-02;5295.58
41;12;M;HGH;PVE;M;345.57;1976-03-20;2012-01-20;2005-02-25;1188.94
40;7;S;BCR;PVE;F;193.45;1977-09-12;2005-02-01;2010-05-04;782.95
39;11;M;MAS;STE;F;453.55;2008-11-24;2006-07-17;2005-10-18;964.27
46;14;M;BCR;STE;M;349.25;2012-07-01;2015-09-08;2002-09-12;2288.7
32;0;S;HGH;PVE;M;170.0;2003-03-15;;2016-09-30;1638.46
38;0;M;HGH;PVE;M;329.54;1979-01-27;2014-01-01;2016-09-30;2307.69
68;3;M;HGH;RET;F;158.64;1980-01-01;;2014-03-20;1738.85
24;0;M;HGH;PVE;M;369.23;1993-10-25;2013-01-01;2016-09-27;451.53
68;8;W;SEC;RET;F;376.93;1981-08-20;;2009-02-23;4742.31
36;3;M;HGH;STE;M;390.6;1981-03-01;2004-07-01;2014-03-10;435.16
39;12;M;BCR;PVE;M;440.67;1978-10-04;2003-07-01;2005-05-10;2288.7
53;0;M;BCR;PVE;M;576.92;1976-01-01;2003-01-01;2016-09-26;319.83
39;2;M;HGH;STE;F;293.21;2005-07-01;2013-07-15;2015-04-22;4574.51
64;4;M;HGH;RET;M;154.09;1993-04-01;;2012-08-27;304.65
29;3;M;HGH;PVE;F;172.31;2014-05-01;2011-12-15;2013-12-09;2307.69
40;13;S;BCR;PVE;F;541.93;1977-10-17;2006-08-01;2003-09-18;807.69
29;2;S;HGH;PVE;M;230.77;2001-01-01;2015-12-10;2015-04-27;3525.12
35;7;M;HGH;STE;M;470.72;2006-03-14;2005-04-25;2010-07-01;3316.58
56;14;M;HGH;PVE;M;1168.7;2007-01-10;1981-10-26;2003-06-06;3910.88
41;3;M;HGH;PVE;F;260.12;1976-03-15;2014-08-12;2013-07-09;990.12
33;10;M;HGH;PVE;F;314.32;2011-06-01;2008-01-01;2007-04-24;443.51
