Cocunut;AGE;YEARS_WITH_BANK;MARTIAL_STATUS;EDUCATION;EMPLOYMENT;GENDER;CUST_INCOME;CURRENT_ADDRESS_DATE;CURRENT_JOB_DATE;CURRENT_WITH_BANK_DATE;CURRENT_BALANCE_EUR;MORTGAGE_PRED;MORTGAGE_PROB
80001;32;3;M;HGH;PVE;M;423,0769231;1985-01-21;2005-01-01;2014-07-02;143;N;0.99944216
80002;51;10;W;SEC;RET;F;140,6102308;2010-10-23;9999-10-01;2007-02-21;2288,700154;N;0.99931157
80003;36;7;M;BCR;STE;F;326,9230769;1981-10-16;2009-09-10;2009-10-26;2268,491692;N;0.9993444
80004;46;11;D;BCR;TEA;F;738,82;2008-09-01;2005-11-01;2005-11-30;4536,983462;N;0.9905455
80005;39;10;M;HGH;PVE;M;483,9282308;1993-09-01;2013-06-01;2006-12-05;3076,923077;N;0.99957436
80006;64;9;M;BCR;RET;F;274,5153846;1983-06-01;1993-09-03;2008-06-16;153,7692308;N;0.9997938
80007;64;8;W;HGH;RET;F;237,634;1978-10-01;9999-10-01;2009-06-10;2307,692308;N;0.99966264
80008;74;11;M;HGH;RET;M;221,0430769;1996-10-20;9999-10-01;2006-05-26;790,3846154;N;0.99969363
80009;26;4;S;HGH;PVE;M;248,6461538;2009-10-02;2012-01-24;2012-11-29;4615,384615;N;0.9983638
80010;42;13;M;BCR;PVE;F;228,0769231;1975-08-29;2012-11-16;2004-06-29;4820,321462;N;0.998825
80011;47;7;M;BCR;TEA;F;446,4693077;1993-01-01;2000-08-01;2009-10-27;4615,384615;N;0.99070543
80012;62;0;M;HGH;RET;F;256,9230769;1992-05-25;2001-12-03;2016-09-15;213,8438462;N;0.9999465
80013;26;0;S;HGH;PVE;M;214,5135385;2010-01-01;2015-11-18;2016-09-14;4577,400385;N;0.99735045
80014;65;2;M;HGH;RET;M;504,0544615;2003-01-01;9999-10-01;2014-12-17;5771,358923;N;0.99720323
80015;56;13;M;BCR;STE;F;299,3230769;1982-01-31;1995-02-01;2004-07-05;2288,700154;N;0.99958783
80016;56;12;M;HGH;STE;M;424,9076923;1965-01-01;1981-12-09;2005-06-03;783,5486154;N;0.9998654
80017;48;5;M;HGH;PVE;F;195,4307692;2008-08-01;2015-12-01;2011-10-17;807,3685385;N;0.9999753
80018;32;11;S;HGH;PVE;M;269,7172308;1985-08-20;2005-09-15;2005-10-11;1646,607538;N;0.9994197
80019;65;12;M;BCR;RET;F;387,9672308;1996-01-01;9999-10-01;2005-02-23;2405,833385;N;0.99927026
80020;73;0;W;HGH;RET;F;192,9054615;2013-01-01;9999-10-01;2016-10-05;517,7019231;N;0.9999573
80021;39;2;M;HGH;PVE;F;197,6569231;1997-07-01;2014-08-01;2014-08-07;364,4485385;N;0.99996734
80022;30;8;M;BCR;PVE;M;275,6432308;1990-04-06;2010-07-19;2008-08-12;7629,000615;N;0.98871267
80023;35;0;S;MAS;TEA;M;615,3882308;1982-03-07;2013-02-01;2016-09-22;7629,000615;N;0.9599775
80024;46;1;M;HGH;PVE;M;198,9153846;1992-06-01;2015-03-19;2015-12-24;2268,491692;N;0.999977
80025;37;11;M;HGH;PVE;M;687,2178462;2013-03-15;2009-01-15;2005-10-13;2286,101154;N;0.9988199
80026;68;5;M;BCR;RET;F;247,9923077;2005-07-05;9999-10-01;2011-08-30;3951,923077;N;0.9949511
80027;46;11;M;HGH;STE;F;302,8073077;2004-06-01;1992-08-17;2006-01-19;2307,692308;N;0.9977077
80028;61;13;M;HGH;PVE;M;451,2340769;1982-01-01;1996-04-01;2004-03-04;1423,507769;N;0.9997563
80029;46;15;M;BCR;STE;F;602,3863846;2010-01-01;1996-08-01;2002-06-01;7629,000615;N;0.9898145
80030;26;2;S;BCR;STE;M;363,1733077;2015-06-25;2014-01-01;2015-06-26;293,138;N;0.9998198
80031;66;14;W;BCR;RET;F;247,4984615;1995-03-06;9999-10-01;2002-08-16;3410,509615;N;0.9985618
80032;61;12;W;PRS;RET;F;159,1984615;2002-01-01;9999-10-01;2005-02-17;2401,401385;N;0.99922466
80033;53;13;M;HGH;PVE;M;373,6153846;1969-04-04;2007-06-18;2004-06-08;356,4973077;N;0.99988747
80034;44;0;D;HGH;STE;F;198,2461538;2006-07-01;2014-06-01;2016-09-28;2307,692308;N;0.9999715
80035;53;12;M;BCR;RET;F;249,8246154;1995-01-01;9999-10-01;2005-06-24;5562,720615;N;0.9973448
80036;45;12;M;HGH;STE;M;463,7756154;1986-09-26;1995-09-26;2005-06-27;2268,491692;N;0.9995308
80037;47;11;M;HGH;STE;M;383,1384615;1970-03-18;1999-09-01;2005-09-15;9000;N;0.9933929
