"Cocunut";"AGE";"YEARS_WITH_BANK";"MARTIAL_STATUS";"EDUCATION";"EMPLOYMENT";"GENDER";"CUST_INCOME";"CURRENT_ADDRESS_DATE";"CURRENT_JOB_DATE";"CURRENT_WITH_BANK_DATE";"CURRENT_BALANCE_EUR"
80001;32;3;"M";"HGH";"PVE";"M";423,0769231;1985-01-21;2005-01-01;2014-07-02;143
80002;51;10;"W";"SEC";"RET";"F";140,6102308;2010-10-23;9999-10-01;2007-02-21;2288,700154
80003;36;7;"M";"BCR";"STE";"F";326,9230769;1981-10-16;2009-09-10;2009-10-26;2268,491692
80004;46;11;"D";"BCR";"TEA";"F";738,82;2008-09-01;2005-11-01;2005-11-30;4536,983462
80005;39;10;"M";"HGH";"PVE";"M";483,9282308;1993-09-01;2013-06-01;2006-12-05;3076,923077
80006;64;9;"M";"BCR";"RET";"F";274,5153846;1983-06-01;1993-09-03;2008-06-16;153,7692308
80007;64;8;"W";"HGH";"RET";"F";237,634;1978-10-01;9999-10-01;2009-06-10;2307,692308
80008;74;11;"M";"HGH";"RET";"M";221,0430769;1996-10-20;9999-10-01;2006-05-26;790,3846154
80009;26;4;"S";"HGH";"PVE";"M";248,6461538;2009-10-02;2012-01-24;2012-11-29;4615,384615
80010;42;13;"M";"BCR";"PVE";"F";228,0769231;1975-08-29;2012-11-16;2004-06-29;4820,321462
80011;47;7;"M";"BCR";"TEA";"F";446,4693077;1993-01-01;2000-08-01;2009-10-27;4615,384615
80012;62;0;"M";"HGH";"RET";"F";256,9230769;1992-05-25;2001-12-03;2016-09-15;213,8438462
80013;26;0;"S";"HGH";"PVE";"M";214,5135385;2010-01-01;2015-11-18;2016-09-14;4577,400385
80014;65;2;"M";"HGH";"RET";"M";504,0544615;2003-01-01;9999-10-01;2014-12-17;5771,358923
80015;56;13;"M";"BCR";"STE";"F";299,3230769;1982-01-31;1995-02-01;2004-07-05;2288,700154
80016;56;12;"M";"HGH";"STE";"M";424,9076923;1965-01-01;1981-12-09;2005-06-03;783,5486154
80017;48;5;"M";"HGH";"PVE";"F";195,4307692;2008-08-01;2015-12-01;2011-10-17;807,3685385
80018;32;11;"S";"HGH";"PVE";"M";269,7172308;1985-08-20;2005-09-15;2005-10-11;1646,607538
80019;65;12;"M";"BCR";"RET";"F";387,9672308;1996-01-01;9999-10-01;2005-02-23;2405,833385
