"Cocunut";"Mortgage_YN";"AGE_AT_ORIGINATION";"AGE";"YEARS_WITH_BANK";"MARTIAL_STATUS";"EDUCATION";"EMPLOYMENT";"GENDER";"CUST_INCOME";"CURRENT_ADDRESS_DATE";"CURRENT_JOB_DATE";"CURRENT_WITH_BANK_DATE";"CURRENT_BALANCE_EUR"
1;"Y";50;52;13;"M";"HGH";"PVE";"M";909,5013077;1979-04-18;2010-01-01;2004-03-16;7648,350692
9;"Y";48;49;11;"M";"HGH";"SFE";"M";288,4615385;1999-12-16;2004-01-20;2005-11-07;30189,90492
11;"Y";53;55;14;"M";"BCR";"STE";"M";1280,528692;2005-06-28;1990-09-01;2003-06-25;50553,17454
12;"Y";64;66;10;"M";"BCR";"OTH";"F";620,9597692;2000-12-22;9999-10-01;2006-12-21;15907,28338
18;"Y";46;47;9;"S";"MAS";"PVE";"F";2239,853846;2009-08-01;2013-12-24;2007-08-07;27916,19262
19;"Y";34;35;10;"*noval*";"BCR";"STE";"F";1016,004308;9999-10-01;2006-08-01;2006-08-02;26571,472
21;"Y";51;53;10;"M";"HGH";"STE";"F";458,6092308;1992-12-31;1984-12-13;2006-10-27;21949,504
24;"Y";56;58;10;"M";"HGH";"PVE";"F";615,3846154;1998-03-31;2005-09-20;2007-06-27;50387,55885
29;"Y";46;47;14;"M";"BCR";"PVE";"M";744,0076154;2007-09-01;2010-04-08;2002-11-16;8731,948923
33;"Y";45;46;12;"M";"HGH";"PVE";"M";473,818;2007-11-27;1991-10-01;2004-11-24;16084,14246
34;"Y";38;40;9;"S";"HGH";"PVE";"F";538,6294615;2007-10-17;2006-06-12;2008-01-29;13118,73962
35;"Y";48;50;11;"M";"HGH";"STE";"M";402,4476923;1997-09-01;1992-07-01;2006-04-28;28063,85915
37;"Y";56;57;14;"D";"HGH";"PVE";"F";626,3546923;2005-05-30;2002-11-18;2002-11-27;6084,600692
43;"Y";36;39;12;"M";"BCR";"PVE";"M";932,7886923;2009-09-01;2004-08-01;2004-08-19;55190,07408
45;"Y";39;41;11;"M";"BCR";"PVE";"F";872,7253846;2009-06-20;2005-08-01;2005-08-01;29008,47846
47;"Y";42;43;12;"M";"BCR";"PVE";"M";7504,292308;1999-02-01;2008-06-27;2005-02-25;35649,95146
